customerID,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
7590-VHVEG,Month-to-month,Yes,Electronic check,29.85,29.85
5575-GNVDE,One year,No,Mailed check,56.95,1889.5
3668-QPYBK,Month-to-month,Yes,Mailed check,53.85,108.15
7795-CFOCW,One year,No,Bank transfer (automatic),42.3,1840.75
9237-HQITU,Month-to-month,Yes,Electronic check,70.7,151.65
9305-CDSKC,Month-to-month,Yes,Electronic check,99.65,820.5
1452-KIOVK,Month-to-month,Yes,Credit card (automatic),89.1,1949.4
6713-OKOMC,Month-to-month,No,Mailed check,29.75,301.9
7892-POOKP,Month-to-month,Yes,Electronic check,104.8,3046.05
6388-TABGU,One year,No,Bank transfer (automatic),56.15,3487.95
9763-GRSKD,Month-to-month,Yes,Mailed check,49.95,587.45
7469-LKBCI,Two year,No,Credit card (automatic),18.95,326.8
8091-TTVAX,One year,No,Credit card (automatic),100.35,5681.1
0280-XJGEX,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3
5129-JLPIS,Month-to-month,Yes,Electronic check,105.5,2686.05
3655-SNQYZ,Two year,No,Credit card (automatic),113.25,7895.15
8191-XWSZG,One year,No,Mailed check,20.65,1022.95
9959-WOFKT,Two year,No,Bank transfer (automatic),106.7,7382.25
4190-MFLUW,Month-to-month,No,Credit card (automatic),55.2,528.35
4183-MYFRB,Month-to-month,Yes,Electronic check,90.05,1862.9
8779-QRDMV,Month-to-month,Yes,Electronic check,39.65,39.65
1680-VDCWW,One year,No,Bank transfer (automatic),19.8,202.25
1066-JKSGK,Month-to-month,No,Mailed check,20.15,20.15
3638-WEABW,Two year,Yes,Credit card (automatic),59.9,3505.1
6322-HRPFA,Month-to-month,No,Credit card (automatic),59.6,2970.3
6865-JZNKO,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6
6467-CHFZW,Month-to-month,Yes,Electronic check,99.35,4749.15
8665-UTDHZ,Month-to-month,No,Electronic check,30.2,30.2
5248-YGIJN,Two year,Yes,Credit card (automatic),90.25,6369.45
8773-HHUOZ,Month-to-month,Yes,Mailed check,64.7,1093.1
3841-NFECX,Two year,Yes,Credit card (automatic),96.35,6766.95
4929-XIHVW,Month-to-month,Yes,Credit card (automatic),95.5,181.65
6827-IEAUQ,One year,No,Mailed check,66.15,1874.45
7310-EGVHZ,Month-to-month,No,Bank transfer (automatic),20.2,20.2
3413-BMNZE,Month-to-month,No,Bank transfer (automatic),45.25,45.25
6234-RAAPL,Two year,No,Bank transfer (automatic),99.9,7251.7
6047-YHPVI,Month-to-month,Yes,Electronic check,69.7,316.9
6572-ADKRS,Month-to-month,Yes,Credit card (automatic),74.8,3548.3
5380-WJKOV,Month-to-month,Yes,Electronic check,106.35,3549.25
8168-UQWWF,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4
8865-TNMNX,One year,No,Mailed check,49.55,475.7
9489-DEDVP,Two year,Yes,Credit card (automatic),69.2,4872.35
9867-JCZSP,One year,No,Mailed check,20.75,418.25
4671-VJLCL,Two year,Yes,Credit card (automatic),79.85,4861.45
4080-IIARD,Month-to-month,Yes,Electronic check,76.2,981.45
3714-NTNFO,Month-to-month,Yes,Electronic check,84.5,3906.7
5948-UJZLF,Month-to-month,No,Mailed check,49.25,97
7760-OYPDY,Month-to-month,Yes,Electronic check,80.65,144.15
7639-LIAYI,Two year,Yes,Credit card (automatic),79.75,4217.8
2954-PIBKO,Two year,Yes,Credit card (automatic),64.15,4254.1
8012-SOUDQ,Month-to-month,Yes,Electronic check,90.25,3838.75
9420-LOJKX,Month-to-month,Yes,Credit card (automatic),99.1,1426.4
6575-SUVOI,Month-to-month,Yes,Credit card (automatic),69.5,1752.65
7495-OOKFY,Month-to-month,Yes,Credit card (automatic),80.65,633.3
4667-QONEA,One year,Yes,Credit card (automatic),74.85,4456.35
1658-BYGOY,Month-to-month,Yes,Electronic check,95.45,1752.55
